PSRCAN Dictionary,Ver:,0.0.5,,,,,<-always increese version number after change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Entry 1,,,,,,Entry 2,,,,,Entry 3,,,,,Entry 4,,,,,Entry 5,,,,,Entry 6,,,,,Entry 7,,,
Name,CAN ID,Function,,Type,Start,var name,Discription,Convert,,Type,Start,Discription,Convert,,Type,Start,Discription,Convert,,Type,Start,Discription,Convert,,Type,Start,Discription,Convert,,Type,Start,Discription,Convert,,Type,Start,Discription,Convert
Power Distribution Board,1,0,,F,0,PDB.input1BatVolts,Input 1 Battery Voltage,Volts,,B,4,Energy Left,%,,B,5,LED Color,state,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,1,,F,0,,Input 2 Battery Voltage,Volts,,B,4,Energy Left,%,,B,5,LED Color,state,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,2,,F,0,,Input 3 Battery Voltage,Volts,,B,4,Energy Left,%,,B,5,LED Color,state,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,3,,F,0,,Input 4 Battery Voltage,Volts,,B,4,Energy Left,%,,B,5,LED Color,state,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,4,,F,0,,Input 5 DCDC Voltage,Volts,,,,,,,B,5,LED Color,state,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,5,,F,0,,Input Battery total current,Amps,,,,,,,B,5,LED Color,state,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,6,,F,0,,Input DCDC total current,Amps,,,,,,,B,5,LED Color,state,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,7,,F,0,,Low voltage Bus Voltage,Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,8,,F,0,,Output 1 Current,Amps,,,,,,,B,5,LED Color,state,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,9,,F,0,,Output 2 Current,Amps,,,,,,,B,5,LED Color,state,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,10,,F,0,,Output 3 Current,Amps,,,,,,,B,5,LED Color,state,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,11,,F,0,,Output 4 Current,Amps,,,,,,,B,5,LED Color,state,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,12,,F,0,,Output 5 Current,Amps,,,,,,,B,5,LED Color,state,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,13,,F,0,,Output 6 Current,Amps,,,,,,,B,5,LED Color,state,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,14,,F,0,,Output 7 Current,Amps,,,,,,,B,5,LED Color,state,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,15,,F,0,,Output 8 Current,Amps,,,,,,,B,5,LED Color,state,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,16,,,,,,,,,,,,,B,5,LED error,T=1/F=0,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Distribution Board,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
